,企業名,セールスポイント,採用ステータス,初年度年収
24,株式会社PGSホーム | 今なら入社祝金最大138万円支給！インセンティブ・報奨金も充実,【アポインター営業】リサーチャー(市場調査)※月給40万スタート 正社員,正社員,"仕事内容 【仕事はシンプル！契約は専門スタッフが担当】◎希望や適性を考慮して外勤または内勤をお任せ。商品に興味のあるお客様を探し、ご紹介する仕事です。
対象となる方 【経験・学歴・年齢は一切不問】★未経験から高収入を目指せるチャンス！★社員平均年収550万円！1,000万円超も可能！★意欲重視の採用を約束！
勤務地 ※新支店が続々と開設！ 《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州のいずれ…
給与 月給25万円〜50万円＋報奨金(本数達成賞＋オーダー手当) ★今だけ！入社祝金18万円＋半年間の業績に応じ…
初年度年収 400万円～1000万円"
25,株式会社コシダカ | 【上場グループ企業】スピード昇格可★土日休みOK★年2回5連休,月30万を目指せる【カラオケ店員(店長候補)】*39歳以下/学歴不問 正社員,正社員,"仕事内容 【月8～10日休でバランス良好！】お客様への軽食・ドリンクの提供や店内清掃などをお任せします★4カ月目の入社後研修で同期の仲間と成長♪
対象となる方 【学歴・性別・経歴、一切不問！／人物重視◎】39歳以下限定★未経験・第二新卒・社会人デビューも歓迎★仕事もプライベート充実させませんか？
勤務地 《転勤なし》全国の『カラオケまねきねこ』の店舗 ★マイカー可能！※エリアによる ★お住まいとご希望…
給与 エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…
初年度年収 300万円～850万円"
26,"株式会社ビッグモーター | 業界No.1◆月給23万9,800円～☆残業ほぼなし☆面接1回",未経験からはじめる【フロントスタッフ(受付・事務)】*学歴不問 正社員,正社員,"仕事内容 【20代の女性活躍中♪】来店されたお客さまの受付、データ入力、電話対応などをお任せします。
対象となる方 【未経験・第二新卒歓迎！学歴不問＆年齢不問♪】＼人柄重視！クルマの知識も問いません！／ ☆正社員デビュー歓迎 ☆PCスキル不問 ★多彩な福利厚生
勤務地 ☆転勤なし！全国募集＆勤務地は希望考慮♪ ☆オープニング募集あり！ ☆マイカー通勤OK♪ ■北海道…
給与 【東京・千葉・埼玉エリア】 ◆月給25万3600円〜38万5200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当 …
初年度年収 300万円～550万円"
27,株式会社ビッグモーター | 業界No.1企業／賞与年2回／年収800万円以上可能／残業少なめ,インセンあり！【自動車の整備スタッフ】◆未経験歓迎※45歳以下 正社員,正社員,"仕事内容 【１台修理するごとにインセンティブあり！】定期点検や車検、各種修理対応を行います。◆入社後は自動車の知識、整備の流れから教えていきます。
対象となる方 【職種・業界の未経験者歓迎！学歴不問】◆45歳以下の方　◎「クルマが好き」「技術を身につけたい」方歓迎！★20～40代活躍中
勤務地 《転勤なし！マイカー通勤OK！》 北海道・宮城県・関東・北陸・甲信越・東海・関西・中国・四国・九州…
給与 月給22万8,600円〜60万円＋インセンティブ（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決…
初年度年収 300万円～1000万円"
28,株式会社コシダカ | 【上場グループ企業】月8~10日休★土日休みもOK★年2回5連休あり,研修充実★【カラオケ店舗社員(店長候補)】※高卒以上/年齢不問 正社員,正社員,"仕事内容 【フランクな接客で愛されるお店をつくる♪】カラオケまねきねこの店舗社員として受付業務等をお任せ♪ ★昇給1回毎に3万円UP可能 ★丁寧な入社後研修
対象となる方 【性別・年齢・経験いっさい不問！／人物重視◎】未経験・第二新卒・フリーター歓迎！ ★仕事もプライベートも充実させませんか？ ※高卒以上
勤務地 《転勤なし》全国の『カラオケまねきねこ』の店舗 ★マイカー可能！※エリアによる ★お住まいとご希望…
給与 エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…
初年度年収 300万円～850万円"
29,株式会社ガリレオコーポレーション | 『TVCMでお馴染み』の地場密着企業！昇給チャンスは年3回！！,平均月収80万円！【営業】★40代の新人活躍中！未経験も大歓迎 正社員,正社員,"仕事内容 ◎営業／ノルマなし・ご案内業務が中心！営業未経験でも安心の研修体制です！　★社宅完備！U・Iターン希望者も歓迎します！
対象となる方 《 未経験、第二新卒や2021年卒業予定の方も大歓迎 》 ◎年齢・学歴・男女不問　★採用は意欲や人柄重視で行います。 ★内定まで2週間
勤務地 ★転勤なし ★希望の勤務地に配属！ 【本社】 福岡県福岡市博多区上牟田1-7-6 【本部】 福岡県…
給与 月給25万円以上 ★平均月収80万円！ ※経験・年齢・能力を考慮の上、優遇します。 ※試用期間1〜3ヶ月…
初年度年収 500万円～2000万円"
30,株式会社コシダカ | ★月収例29万4000円！★年休110日以上★東証一部上場グループ,カラオケ好き集合♪【カラオケ店舗社員】※職歴/学歴/年齢不問 正社員,正社員,"仕事内容 【同期入社多数！】『カラオケまねきねこ』をお客様に思いっきり楽しんでもらえるように接客しましょう！★新入社員研修制度あり★年2回5連休あり！
対象となる方 ＼職種・業種・社会人未経験大歓迎！／★人物重視の採用です！転職回数・学歴・年齢不問＜高卒・フリーター、第二新卒の方歓迎＞★20～40代が活躍中！
勤務地 《転勤なし》全国の『カラオケまねきねこ』の店舗 ★マイカー可能！※エリアによる ★お住まいとご希望…
給与 エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…
初年度年収 300万円～850万円"
31,株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★在宅勤務OK★年間休日126日,年収200万UP実績あり【インフラエンジニア】★選べるキャリア 正社員,正社員,"仕事内容 【ITインフラ・クラウド】インフラのシステム企画～要件定義、PLとしてのマネジメントなど希望・スキルに合ったお仕事★マルチクラウドのスキルを手に
対象となる方 【学歴不問】ネットワーク・サーバ構築の経験者はぜひ(年数不問)　★今より良い環境を目指したい方◎★第6回<ワーク・ライフ・バランス大賞>大賞受賞
勤務地 【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…
給与 【月給40万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当を別途支給 ★経験・スキルを考慮して…
初年度年収 480万円～1000万円"
32,株式会社アキュラホーム,過去最高益へ！【注文住宅営業】※業界未経験OK 正社員,正社員,"仕事内容 モデルハウスに来場されたお客様へ完全自由設計で住まいを提案。また、土地探しから資金計画など住まいづくりの全ての悩みを解決します。
対象となる方 【学歴・年齢不問／意欲重視】未経験者・経験者ともに歓迎！★中途入社6割★「上を目指すしたい」「挑戦し続けたい」そんな方はぜひ！
勤務地 ＜埼玉・東京・神奈川・千葉・茨城＞※マイカー通勤OK ＜拠点情報＞ ■埼玉 久喜市／本庄市／熊谷市…
給与 【固定月給】23万〜40.8万円 ※月30時間分の見込み残業手当（5万円〜7万5000円）含む 　超過分は別途支…
初年度年収 350万円～650万円"
33,日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同 ――◇オンライン説明会開催中！,AI・自動化で需要が高まる【ロボットのサポートエンジニア】 正社員,正社員,"仕事内容 《社員定着率95％以上》 ロボット・機械の点検や部品交換、メンテナンス、検査などの業務をお任せします ★まずは同期と一緒の合同研修からスタート！
対象となる方 《賞与年2回支給／年間休日最大160日／残業ほぼなし》★学歴・経験・転職回数・年齢など不問 ★正社員デビュー、手に職つけたい方、大歓迎！
勤務地 *◆ 希望を考慮のうえ、全国46都道府県に配属！ ◆* ☆あなたの希望の勤務地を考慮します。 ☆将…
給与 月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…"
34,株式会社ライジングサンセキュリティーサービス | 【★面接保証！20～60代活躍中★未経験スタート大歓迎★】,＼ひたちなか・水戸募集／【警備・受付】★月給最大38万円も可能 正社員,正社員,"仕事内容 【施設での出入管理などの警備・受付業務等をお任せします！】★資格取得を全面サポート！★社宅や寮を完備なので、通勤も楽々です♪
対象となる方 【シニアや育児中のスタッフも活躍中！】学歴・経験・性別・年齢も一切不問。ご応募いただいた方とは全員との面接をお約束します！
勤務地 ＜茨城県ひたちなか市・水戸市・つくば市・土浦市の各現場＞ ※ご希望に応じて配属現場を決定します ※…
給与 月給24万円〜38万円 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。…
初年度年収 300万円～500万円"
35,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【資材管理スタッフ】★そこそこ高収入＆そこそこ休める環境！ 正社員,正社員,"仕事内容 【正直、◎は少ないけれど、安定性⇒〇／収入面⇒〇／休み⇒〇】ものづくり工場にて、資材発注確認、納品チェック等の業務を担当★5月・6月入社歓迎
対象となる方 「安定した職場で働きたい」「家から近いエリアを希望！」「そこそこ稼ぎたい」「それなりに休みたい」そんな方はぜひご応募を！★学歴・経験不問
勤務地 【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
給与 月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
初年度年収 300万円～500万円"
